sku,price,special_price,weight,ups,shipping_cost
"RCP395873BLU","258.0100","99.5544","9.0000","Y","28.3811",
"RCP3959BEI","357.3300","135.3408","12.9500","Y","39.3063",
"RCP3959GRA","357.3300","135.3408","12.9500","Y","39.3063",
"RCP395973BLU","357.3300","135.3408","11.6000","Y","39.3063",
"RCP3964BLA","1217.7400","443.4192","74.0000","N","",
"RCP3964BLA","1217.7400","443.4192","74.0000","N","133.9514",
"RCP3964DGR","1217.7400","461.1530","74.6000","N","133.9514",
"RCP3965BEI","1369.9500","498.8466","65.0000","N","150.6945",
"RCP3965BLA","1369.9500","518.8064","76.0000","N","150.6945",
"RCP3965DGR","1369.9500","498.8466","74.9000","Y","150.6945",
"RCP396873BLU","1418.1900","516.4108","78.0430","N","156.0009",
"RCP396973BLU","747.8400","537.0808","78.0000","N","",
"RCP3970SAB","1345.8000","509.6692","49.5500","N","148.0380",
"RCP3975SAB","1470.7600","556.9876","53.2000","N","161.7836",
